<https://vine.co/v/MtZ2xhIjDPe>;rel="original"
,<http://web.archive.org/web/20140704083545/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 04 Jul 2014 08:35:45 GMT"
,<http://web.archive.org/web/20140704184656/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 04 Jul 2014 18:46:56 GMT"
,<http://web.archive.org/web/20140705062644/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 06:26:44 GMT"
,<http://web.archive.org/web/20140705083958/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 08:39:58 GMT"
,<http://web.archive.org/web/20140705111459/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 11:14:59 GMT"
,<http://web.archive.org/web/20140705130659/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 13:06:59 GMT"
,<http://web.archive.org/web/20140705143225/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 14:32:25 GMT"
,<http://web.archive.org/web/20140705204535/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 05 Jul 2014 20:45:35 GMT"
,<http://web.archive.org/web/20140706145440/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 06 Jul 2014 14:54:40 GMT"
,<http://web.archive.org/web/20140706191329/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 06 Jul 2014 19:13:29 GMT"
,<http://web.archive.org/web/20140706215720/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 06 Jul 2014 21:57:20 GMT"
,<http://web.archive.org/web/20140707185321/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 07 Jul 2014 18:53:21 GMT"
,<http://web.archive.org/web/20140707195604/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 07 Jul 2014 19:56:04 GMT"
,<http://web.archive.org/web/20140708000543/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 08 Jul 2014 00:05:43 GMT"
,<http://web.archive.org/web/20140708113702/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 08 Jul 2014 11:37:02 GMT"
,<http://web.archive.org/web/20140708162307/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 08 Jul 2014 16:23:07 GMT"
,<http://web.archive.org/web/20140708210228/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 08 Jul 2014 21:02:28 GMT"
,<http://web.archive.org/web/20140709003928/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 09 Jul 2014 00:39:28 GMT"
,<http://web.archive.org/web/20140710003132/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 10 Jul 2014 00:31:32 GMT"
,<http://web.archive.org/web/20140710023512/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 10 Jul 2014 02:35:12 GMT"
,<http://web.archive.org/web/20140712164238/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 12 Jul 2014 16:42:38 GMT"
,<http://web.archive.org/web/20140712231338/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 12 Jul 2014 23:13:38 GMT"
,<http://web.archive.org/web/20140714061052/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 14 Jul 2014 06:10:52 GMT"
,<http://web.archive.org/web/20140715140956/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 15 Jul 2014 14:09:56 GMT"
,<http://web.archive.org/web/20140719175647/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 19 Jul 2014 17:56:47 GMT"
,<http://web.archive.org/web/20140720045459/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 20 Jul 2014 04:54:59 GMT"
,<http://web.archive.org/web/20140720132306/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 20 Jul 2014 13:23:06 GMT"
,<http://web.archive.org/web/20140720214636/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 20 Jul 2014 21:46:36 GMT"
,<http://web.archive.org/web/20140722002827/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 22 Jul 2014 00:28:27 GMT"
,<http://web.archive.org/web/20140722154808/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 22 Jul 2014 15:48:08 GMT"
,<http://web.archive.org/web/20140725071217/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 25 Jul 2014 07:12:17 GMT"
,<http://web.archive.org/web/20140726123304/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 26 Jul 2014 12:33:04 GMT"
,<http://web.archive.org/web/20140727214042/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 27 Jul 2014 21:40:42 GMT"
,<http://web.archive.org/web/20140730184216/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 30 Jul 2014 18:42:16 GMT"
,<http://web.archive.org/web/20140807190008/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 07 Aug 2014 19:00:08 GMT"
,<http://web.archive.org/web/20140811013302/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 11 Aug 2014 01:33:02 GMT"
,<http://wayback.archive-it.org/all/20140913054833/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 13 Sep 2014 05:48:33 GMT"
,<http://web.archive.org/web/20140926232916/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 26 Sep 2014 23:29:16 GMT"
,<http://web.archive.org/web/20141004020046/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 04 Oct 2014 02:00:46 GMT"
,<http://web.archive.org/web/20141010230630/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 10 Oct 2014 23:06:30 GMT"
,<http://wayback.archive-it.org/all/20141011070645/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 11 Oct 2014 07:06:45 GMT"
,<http://web.archive.org/web/20141015225125/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 15 Oct 2014 22:51:25 GMT"
,<http://web.archive.org/web/20141024215928/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 24 Oct 2014 21:59:28 GMT"
,<http://web.archive.org/web/20141025005702/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 25 Oct 2014 00:57:02 GMT"
,<http://wayback.archive-it.org/all/20141025112704/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 25 Oct 2014 11:27:04 GMT"
,<http://web.archive.org/web/20141026003537/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 26 Oct 2014 00:35:37 GMT"
,<http://wayback.archive-it.org/all/20141026015151/http://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 26 Oct 2014 01:51:51 GMT"
,<http://wayback.archive-it.org/all/20141026015152/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 26 Oct 2014 01:51:52 GMT"
,<http://web.archive.org/web/20141027090720/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 27 Oct 2014 09:07:20 GMT"
,<http://wayback.archive-it.org/all/20141029145517/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 29 Oct 2014 14:55:17 GMT"
,<http://web.archive.org/web/20141101065743/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 01 Nov 2014 06:57:43 GMT"
,<http://web.archive.org/web/20141111030959/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 11 Nov 2014 03:09:59 GMT"
,<http://web.archive.org/web/20141112071824/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 12 Nov 2014 07:18:24 GMT"
,<http://web.archive.org/web/20141113104152/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 13 Nov 2014 10:41:52 GMT"
,<http://web.archive.org/web/20141113150042/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 13 Nov 2014 15:00:42 GMT"
,<http://web.archive.org/web/20141125042957/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 25 Nov 2014 04:29:57 GMT"
,<http://web.archive.org/web/20141129082724/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 29 Nov 2014 08:27:24 GMT"
,<http://web.archive.org/web/20141202074002/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 02 Dec 2014 07:40:02 GMT"
,<http://web.archive.org/web/20141209171451/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 09 Dec 2014 17:14:51 GMT"
,<http://web.archive.org/web/20141215181443/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 15 Dec 2014 18:14:43 GMT"
,<http://web.archive.org/web/20141218021652/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 18 Dec 2014 02:16:52 GMT"
,<http://web.archive.org/web/20141225054422/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 25 Dec 2014 05:44:22 GMT"
,<http://web.archive.org/web/20141226094537/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 26 Dec 2014 09:45:37 GMT"
,<http://web.archive.org/web/20141227212735/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 27 Dec 2014 21:27:35 GMT"
,<http://web.archive.org/web/20141228203352/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 28 Dec 2014 20:33:52 GMT"
,<http://web.archive.org/web/20141229040530/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 29 Dec 2014 04:05:30 GMT"
,<http://web.archive.org/web/20141229222252/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 29 Dec 2014 22:22:52 GMT"
,<http://web.archive.org/web/20150104085435/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 04 Jan 2015 08:54:35 GMT"
,<http://web.archive.org/web/20150106123138/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 06 Jan 2015 12:31:38 GMT"
,<http://web.archive.org/web/20150110204409/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sat, 10 Jan 2015 20:44:09 GMT"
,<http://web.archive.org/web/20150116201819/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 16 Jan 2015 20:18:19 GMT"
,<http://web.archive.org/web/20150122020102/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 22 Jan 2015 02:01:02 GMT"
,<http://web.archive.org/web/20150128010546/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Wed, 28 Jan 2015 01:05:46 GMT"
,<http://web.archive.org/web/20150312205403/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Thu, 12 Mar 2015 20:54:03 GMT"
,<http://wayback.archive-it.org/all/20150329212419/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Sun, 29 Mar 2015 21:24:19 GMT"
,<http://web.archive.org/web/20150605040311/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 05 Jun 2015 04:03:11 GMT"
,<http://web.archive.org/web/20150615060102/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 15 Jun 2015 06:01:02 GMT"
,<http://web.archive.org/web/20150616101031/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 16 Jun 2015 10:10:31 GMT"
,<http://web.archive.org/web/20150804043407/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Tue, 04 Aug 2015 04:34:07 GMT"
,<http://web.archive.org/web/20150817133738/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 17 Aug 2015 13:37:38 GMT"
,<http://web.archive.org/web/20150817133746/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Mon, 17 Aug 2015 13:37:46 GMT"
,<http://web.archive.org/web/20151120101607/https://vine.co/v/MtZ2xhIjDPe>;rel="memento"; datetime="Fri, 20 Nov 2015 10:16:07 GMT"
,<http://web.archive.org/web/20160203192719/https://vine.co/v/MtZ2xhIjDPe>;rel="memento last"; datetime="Wed, 03 Feb 2016 19:27:19 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/https://vine.co/v/MtZ2xhIjDPe>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/https://vine.co/v/MtZ2xhIjDPe>;rel="self"; type="application/link-format"; from ="Wed, 25 Jun 2014 22:00:16 GMT";until="Wed, 03 Feb 2016 19:27:19 GMT"
