<https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="original"
, <http://web.archive.org/web/20140210192926/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 10 Feb 2014 14:29:26 GMT"
, <http://web.archive.org/web/20140211204419/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 11 Feb 2014 15:44:19 GMT"
, <http://web.archive.org/web/20140214191636/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 14 Feb 2014 14:16:36 GMT"
, <http://web.archive.org/web/20140218191604/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 18 Feb 2014 14:16:04 GMT"
, <http://web.archive.org/web/20140221165232/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 21 Feb 2014 11:52:32 GMT"
, <http://web.archive.org/web/20140225234152/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 25 Feb 2014 18:41:52 GMT"
, <http://web.archive.org/web/20140226013726/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 25 Feb 2014 20:37:26 GMT"
, <http://web.archive.org/web/20140228231512/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 28 Feb 2014 18:15:12 GMT"
, <http://web.archive.org/web/20140301000852/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 28 Feb 2014 19:08:52 GMT"
, <http://web.archive.org/web/20140301015404/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 28 Feb 2014 20:54:04 GMT"
, <http://web.archive.org/web/20140302003948/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 01 Mar 2014 19:39:48 GMT"
, <http://web.archive.org/web/20140302022749/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 01 Mar 2014 21:27:49 GMT"
, <http://web.archive.org/web/20140302190006/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 02 Mar 2014 14:00:06 GMT"
, <http://web.archive.org/web/20140303011337/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 02 Mar 2014 20:13:37 GMT"
, <http://web.archive.org/web/20140303025735/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 02 Mar 2014 21:57:35 GMT"
, <http://web.archive.org/web/20140304014846/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 03 Mar 2014 20:48:46 GMT"
, <http://web.archive.org/web/20140304234712/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 04 Mar 2014 18:47:12 GMT"
, <http://web.archive.org/web/20140305022439/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 04 Mar 2014 21:24:39 GMT"
, <http://web.archive.org/web/20140306001429/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 05 Mar 2014 19:14:29 GMT"
, <http://web.archive.org/web/20140308002754/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 07 Mar 2014 19:27:54 GMT"
, <http://web.archive.org/web/20140313031047/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 12 Mar 2014 23:10:47 GMT"
, <http://web.archive.org/web/20140313065123/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 13 Mar 2014 02:51:23 GMT"
, <http://web.archive.org/web/20140314035359/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 13 Mar 2014 23:53:59 GMT"
, <http://web.archive.org/web/20140314085504/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 14 Mar 2014 04:55:04 GMT"
, <http://web.archive.org/web/20140315003251/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 14 Mar 2014 20:32:51 GMT"
, <http://web.archive.org/web/20140315044519/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 15 Mar 2014 00:45:19 GMT"
, <http://web.archive.org/web/20140315131200/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 15 Mar 2014 09:12:00 GMT"
, <http://web.archive.org/web/20140316052818/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 16 Mar 2014 01:28:18 GMT"
, <http://web.archive.org/web/20140316145935/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 16 Mar 2014 10:59:35 GMT"
, <http://web.archive.org/web/20140317060307/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 17 Mar 2014 02:03:07 GMT"
, <http://web.archive.org/web/20140317155609/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 17 Mar 2014 11:56:09 GMT"
, <http://web.archive.org/web/20140318070250/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 18 Mar 2014 03:02:50 GMT"
, <http://web.archive.org/web/20140318181409/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 18 Mar 2014 14:14:09 GMT"
, <http://web.archive.org/web/20140319071946/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 19 Mar 2014 03:19:46 GMT"
, <http://web.archive.org/web/20140319173741/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 19 Mar 2014 13:37:41 GMT"
, <http://web.archive.org/web/20140320081511/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 20 Mar 2014 04:15:11 GMT"
, <http://web.archive.org/web/20140320205704/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 20 Mar 2014 16:57:04 GMT"
, <http://web.archive.org/web/20140321083355/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 21 Mar 2014 04:33:55 GMT"
, <http://web.archive.org/web/20140321224859/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 21 Mar 2014 18:48:59 GMT"
, <http://web.archive.org/web/20140322015915/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 21 Mar 2014 21:59:15 GMT"
, <http://web.archive.org/web/20140322103754/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 22 Mar 2014 06:37:54 GMT"
, <http://web.archive.org/web/20140322211726/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 22 Mar 2014 17:17:26 GMT"
, <http://web.archive.org/web/20140323114223/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 23 Mar 2014 07:42:23 GMT"
, <http://web.archive.org/web/20140325012154/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 24 Mar 2014 21:21:54 GMT"
, <http://web.archive.org/web/20140325114153/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 25 Mar 2014 07:41:53 GMT"
, <http://web.archive.org/web/20140325130207/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 25 Mar 2014 09:02:07 GMT"
, <http://web.archive.org/web/20140326014149/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 25 Mar 2014 21:41:49 GMT"
, <http://web.archive.org/web/20140326163330/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 26 Mar 2014 12:33:30 GMT"
, <http://web.archive.org/web/20140329081553/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 29 Mar 2014 04:15:53 GMT"
, <http://web.archive.org/web/20140405043457/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 05 Apr 2014 00:34:57 GMT"
, <http://web.archive.org/web/20140407231527/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 07 Apr 2014 19:15:27 GMT"
, <http://web.archive.org/web/20140412034251/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 11 Apr 2014 23:42:51 GMT"
, <http://web.archive.org/web/20140414232636/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 14 Apr 2014 19:26:36 GMT"
, <http://web.archive.org/web/20140419035441/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 18 Apr 2014 23:54:41 GMT"
, <http://web.archive.org/web/20140426045357/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 26 Apr 2014 00:53:57 GMT"
, <http://web.archive.org/web/20140503043600/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 May 2014 00:36:00 GMT"
, <http://web.archive.org/web/20140515061744/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 15 May 2014 02:17:44 GMT"
, <http://web.archive.org/web/20140517061216/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 17 May 2014 02:12:16 GMT"
, <http://web.archive.org/web/20140524055138/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 24 May 2014 01:51:38 GMT"
, <http://web.archive.org/web/20140531055616/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 31 May 2014 01:56:16 GMT"
, <http://web.archive.org/web/20140531084019/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 31 May 2014 04:40:19 GMT"
, <http://web.archive.org/web/20140601074856/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 01 Jun 2014 03:48:56 GMT"
, <http://web.archive.org/web/20140602133824/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 02 Jun 2014 09:38:24 GMT"
, <http://web.archive.org/web/20140607063937/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 07 Jun 2014 02:39:37 GMT"
, <http://web.archive.org/web/20140614065752/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 14 Jun 2014 02:57:52 GMT"
, <http://web.archive.org/web/20140621075532/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 21 Jun 2014 03:55:32 GMT"
, <http://web.archive.org/web/20140628082249/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 28 Jun 2014 04:22:49 GMT"
, <http://web.archive.org/web/20140705090117/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 05 Jul 2014 05:01:17 GMT"
, <http://web.archive.org/web/20140712040918/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 00:09:18 GMT"
, <http://web.archive.org/web/20140712040940/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 00:09:40 GMT"
, <http://web.archive.org/web/20140712041927/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 00:19:27 GMT"
, <http://web.archive.org/web/20140712041950/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 00:19:50 GMT"
, <http://web.archive.org/web/20140712130357/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 09:03:57 GMT"
, <http://web.archive.org/web/20140712142122/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 10:21:22 GMT"
, <http://web.archive.org/web/20140712151208/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 11:12:08 GMT"
, <http://web.archive.org/web/20140712162002/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 12:20:02 GMT"
, <http://web.archive.org/web/20140712162109/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 12 Jul 2014 12:21:09 GMT"
, <http://web.archive.org/web/20140713063909/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 13 Jul 2014 02:39:09 GMT"
, <http://web.archive.org/web/20140713090049/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 13 Jul 2014 05:00:49 GMT"
, <http://web.archive.org/web/20140713203400/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 13 Jul 2014 16:34:00 GMT"
, <http://web.archive.org/web/20140713203427/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 13 Jul 2014 16:34:27 GMT"
, <http://web.archive.org/web/20140715013659/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 14 Jul 2014 21:36:59 GMT"
, <http://web.archive.org/web/20140715013727/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 14 Jul 2014 21:37:27 GMT"
, <http://web.archive.org/web/20140715105949/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 15 Jul 2014 06:59:49 GMT"
, <http://web.archive.org/web/20140715113029/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 15 Jul 2014 07:30:29 GMT"
, <http://web.archive.org/web/20140716030316/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 15 Jul 2014 23:03:16 GMT"
, <http://web.archive.org/web/20140716030335/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 15 Jul 2014 23:03:35 GMT"
, <http://web.archive.org/web/20140717015007/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 16 Jul 2014 21:50:07 GMT"
, <http://web.archive.org/web/20140717015116/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 16 Jul 2014 21:51:16 GMT"
, <http://web.archive.org/web/20140717054946/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 17 Jul 2014 01:49:46 GMT"
, <http://web.archive.org/web/20140717055159/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 17 Jul 2014 01:51:59 GMT"
, <http://web.archive.org/web/20140718064143/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 18 Jul 2014 02:41:43 GMT"
, <http://web.archive.org/web/20140718064249/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 18 Jul 2014 02:42:49 GMT"
, <http://web.archive.org/web/20140718075422/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 18 Jul 2014 03:54:22 GMT"
, <http://web.archive.org/web/20140718082713/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 18 Jul 2014 04:27:13 GMT"
, <http://web.archive.org/web/20140719081122/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 19 Jul 2014 04:11:22 GMT"
, <http://web.archive.org/web/20140719081217/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 19 Jul 2014 04:12:17 GMT"
, <http://web.archive.org/web/20140719145246/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 19 Jul 2014 10:52:46 GMT"
, <http://web.archive.org/web/20140719150133/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 19 Jul 2014 11:01:33 GMT"
, <http://web.archive.org/web/20140719183738/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 19 Jul 2014 14:37:38 GMT"
, <http://web.archive.org/web/20140720215926/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 20 Jul 2014 17:59:26 GMT"
, <http://web.archive.org/web/20140720220015/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 20 Jul 2014 18:00:15 GMT"
, <http://web.archive.org/web/20140728024716/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 27 Jul 2014 22:47:16 GMT"
, <http://web.archive.org/web/20140729022502/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 28 Jul 2014 22:25:02 GMT"
, <http://web.archive.org/web/20140730045747/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 30 Jul 2014 00:57:47 GMT"
, <http://web.archive.org/web/20140731231706/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 31 Jul 2014 19:17:06 GMT"
, <http://web.archive.org/web/20140802010220/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 01 Aug 2014 21:02:20 GMT"
, <http://web.archive.org/web/20140802031047/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 01 Aug 2014 23:10:47 GMT"
, <http://web.archive.org/web/20140803043556/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 03 Aug 2014 00:35:56 GMT"
, <http://web.archive.org/web/20140803070843/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 03 Aug 2014 03:08:43 GMT"
, <http://web.archive.org/web/20140804075805/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 04 Aug 2014 03:58:05 GMT"
, <http://web.archive.org/web/20140805072441/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 05 Aug 2014 03:24:41 GMT"
, <http://web.archive.org/web/20140811023847/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 10 Aug 2014 22:38:47 GMT"
