<http://line.me/en/>;rel="original"
,<http://web.archive.org/web/20131219164151/http://line.me/en>;rel="memento"; datetime="Thu, 19 Dec 2013 16:41:51 GMT"
,<http://web.archive.org/web/20131219164152/http://line.me/en/>;rel="memento"; datetime="Thu, 19 Dec 2013 16:41:52 GMT"
,<http://web.archive.org/web/20131219203344/http://line.me/en/>;rel="memento"; datetime="Thu, 19 Dec 2013 20:33:44 GMT"
,<http://web.archive.org/web/20131220040123/http://line.me/en>;rel="memento"; datetime="Fri, 20 Dec 2013 04:01:23 GMT"
,<http://web.archive.org/web/20131220040124/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 04:01:24 GMT"
,<http://web.archive.org/web/20131220202214/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 20:22:14 GMT"
,<http://web.archive.org/web/20131220202536/http://line.me/en>;rel="memento"; datetime="Fri, 20 Dec 2013 20:25:36 GMT"
,<http://web.archive.org/web/20131220202539/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 20:25:39 GMT"
,<http://web.archive.org/web/20131220211809/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 21:18:09 GMT"
,<http://web.archive.org/web/20131220225630/http://line.me/en>;rel="memento"; datetime="Fri, 20 Dec 2013 22:56:30 GMT"
,<http://web.archive.org/web/20131220225632/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 22:56:32 GMT"
,<http://web.archive.org/web/20131220230241/http://line.me/en>;rel="memento"; datetime="Fri, 20 Dec 2013 23:02:41 GMT"
,<http://web.archive.org/web/20131220230242/http://line.me/en/>;rel="memento"; datetime="Fri, 20 Dec 2013 23:02:42 GMT"
,<http://web.archive.org/web/20131221045200/http://line.me/en>;rel="memento"; datetime="Sat, 21 Dec 2013 04:52:00 GMT"
,<http://web.archive.org/web/20131221045232/http://line.me/en/>;rel="memento"; datetime="Sat, 21 Dec 2013 04:52:32 GMT"
,<http://web.archive.org/web/20131221202927/http://line.me/en/>;rel="memento"; datetime="Sat, 21 Dec 2013 20:29:27 GMT"
,<http://web.archive.org/web/20131221205309/http://line.me/en>;rel="memento"; datetime="Sat, 21 Dec 2013 20:53:09 GMT"
,<http://web.archive.org/web/20131221205310/http://line.me/en/>;rel="memento"; datetime="Sat, 21 Dec 2013 20:53:10 GMT"
,<http://web.archive.org/web/20131221220348/http://line.me/en>;rel="memento"; datetime="Sat, 21 Dec 2013 22:03:48 GMT"
,<http://web.archive.org/web/20131221220350/http://line.me/en/>;rel="memento"; datetime="Sat, 21 Dec 2013 22:03:50 GMT"
,<http://web.archive.org/web/20131221231356/http://line.me/en>;rel="memento"; datetime="Sat, 21 Dec 2013 23:13:56 GMT"
,<http://web.archive.org/web/20131221231357/http://line.me/en/>;rel="memento"; datetime="Sat, 21 Dec 2013 23:13:57 GMT"
,<http://web.archive.org/web/20131222042158/http://line.me/en>;rel="memento"; datetime="Sun, 22 Dec 2013 04:21:58 GMT"
,<http://web.archive.org/web/20131222042200/http://line.me/en/>;rel="memento"; datetime="Sun, 22 Dec 2013 04:22:00 GMT"
,<http://web.archive.org/web/20131222213306/http://line.me/en>;rel="memento"; datetime="Sun, 22 Dec 2013 21:33:06 GMT"
,<http://web.archive.org/web/20131222213307/http://line.me/en/>;rel="memento"; datetime="Sun, 22 Dec 2013 21:33:07 GMT"
,<http://web.archive.org/web/20131222235107/http://line.me/en>;rel="memento"; datetime="Sun, 22 Dec 2013 23:51:07 GMT"
,<http://web.archive.org/web/20131222235108/http://line.me/en/>;rel="memento"; datetime="Sun, 22 Dec 2013 23:51:08 GMT"
,<http://web.archive.org/web/20131223004216/http://line.me/en>;rel="memento"; datetime="Mon, 23 Dec 2013 00:42:16 GMT"
,<http://web.archive.org/web/20131223004217/http://line.me/en/>;rel="memento"; datetime="Mon, 23 Dec 2013 00:42:17 GMT"
,<http://web.archive.org/web/20131223031625/http://line.me/en>;rel="memento"; datetime="Mon, 23 Dec 2013 03:16:25 GMT"
,<http://web.archive.org/web/20131223031626/http://line.me/en/>;rel="memento"; datetime="Mon, 23 Dec 2013 03:16:26 GMT"
,<http://web.archive.org/web/20131223032917/http://line.me/en>;rel="memento"; datetime="Mon, 23 Dec 2013 03:29:17 GMT"
,<http://web.archive.org/web/20131223032922/http://line.me/en/>;rel="memento"; datetime="Mon, 23 Dec 2013 03:29:22 GMT"
,<http://web.archive.org/web/20131223220529/http://line.me/en>;rel="memento"; datetime="Mon, 23 Dec 2013 22:05:29 GMT"
,<http://web.archive.org/web/20131223220530/http://line.me/en/>;rel="memento"; datetime="Mon, 23 Dec 2013 22:05:30 GMT"
,<http://web.archive.org/web/20131224003317/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 00:33:17 GMT"
,<http://web.archive.org/web/20131224003318/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 00:33:18 GMT"
,<http://web.archive.org/web/20131224010736/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 01:07:36 GMT"
,<http://web.archive.org/web/20131224010739/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 01:07:39 GMT"
,<http://web.archive.org/web/20131224021336/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 02:13:36 GMT"
,<http://web.archive.org/web/20131224021337/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 02:13:37 GMT"
,<http://web.archive.org/web/20131224051552/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 05:15:52 GMT"
,<http://web.archive.org/web/20131224051553/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 05:15:53 GMT"
,<http://web.archive.org/web/20131224224323/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 22:43:23 GMT"
,<http://web.archive.org/web/20131224224324/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 22:43:24 GMT"
,<http://web.archive.org/web/20131224224551/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 22:45:51 GMT"
,<http://web.archive.org/web/20131224224555/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 22:45:55 GMT"
,<http://web.archive.org/web/20131224235758/http://line.me/en>;rel="memento"; datetime="Tue, 24 Dec 2013 23:57:58 GMT"
,<http://web.archive.org/web/20131224235759/http://line.me/en/>;rel="memento"; datetime="Tue, 24 Dec 2013 23:57:59 GMT"
,<http://web.archive.org/web/20131225011733/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 01:17:33 GMT"
,<http://web.archive.org/web/20131225011734/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 01:17:34 GMT"
,<http://web.archive.org/web/20131225020211/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 02:02:11 GMT"
,<http://web.archive.org/web/20131225020213/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 02:02:13 GMT"
,<http://web.archive.org/web/20131225042424/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 04:24:24 GMT"
,<http://web.archive.org/web/20131225042426/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 04:24:26 GMT"
,<http://web.archive.org/web/20131225232221/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 23:22:21 GMT"
,<http://web.archive.org/web/20131225232222/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 23:22:22 GMT"
,<http://web.archive.org/web/20131225232321/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 23:23:21 GMT"
,<http://web.archive.org/web/20131225232322/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 23:23:22 GMT"
,<http://web.archive.org/web/20131225233205/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 23:32:05 GMT"
,<http://web.archive.org/web/20131225234300/http://line.me/en>;rel="memento"; datetime="Wed, 25 Dec 2013 23:43:00 GMT"
,<http://web.archive.org/web/20131225234302/http://line.me/en/>;rel="memento"; datetime="Wed, 25 Dec 2013 23:43:02 GMT"
,<http://web.archive.org/web/20131226024722/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 02:47:22 GMT"
,<http://web.archive.org/web/20131226024724/http://line.me/en/>;rel="memento"; datetime="Thu, 26 Dec 2013 02:47:24 GMT"
,<http://web.archive.org/web/20131226050704/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 05:07:04 GMT"
,<http://web.archive.org/web/20131226050705/http://line.me/en/>;rel="memento"; datetime="Thu, 26 Dec 2013 05:07:05 GMT"
,<http://web.archive.org/web/20131226073408/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 07:34:08 GMT"
,<http://web.archive.org/web/20131226073409/http://line.me/en/>;rel="memento"; datetime="Thu, 26 Dec 2013 07:34:09 GMT"
,<http://web.archive.org/web/20131226113210/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 11:32:10 GMT"
,<http://web.archive.org/web/20131226213500/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 21:35:00 GMT"
,<http://web.archive.org/web/20131226213501/http://line.me/en/>;rel="memento"; datetime="Thu, 26 Dec 2013 21:35:01 GMT"
,<http://web.archive.org/web/20131226235517/http://line.me/en>;rel="memento"; datetime="Thu, 26 Dec 2013 23:55:17 GMT"
,<http://web.archive.org/web/20131226235518/http://line.me/en/>;rel="memento"; datetime="Thu, 26 Dec 2013 23:55:18 GMT"
,<http://web.archive.org/web/20131227002241/http://line.me/en>;rel="memento"; datetime="Fri, 27 Dec 2013 00:22:41 GMT"
,<http://web.archive.org/web/20131227002242/http://line.me/en/>;rel="memento"; datetime="Fri, 27 Dec 2013 00:22:42 GMT"
,<http://web.archive.org/web/20131227010521/http://line.me/en>;rel="memento"; datetime="Fri, 27 Dec 2013 01:05:21 GMT"
,<http://web.archive.org/web/20131227010522/http://line.me/en/>;rel="memento"; datetime="Fri, 27 Dec 2013 01:05:22 GMT"
,<http://web.archive.org/web/20131227045908/http://line.me/en>;rel="memento"; datetime="Fri, 27 Dec 2013 04:59:08 GMT"
,<http://web.archive.org/web/20131227045910/http://line.me/en/>;rel="memento"; datetime="Fri, 27 Dec 2013 04:59:10 GMT"
,<http://web.archive.org/web/20131227061814/http://line.me/en>;rel="memento"; datetime="Fri, 27 Dec 2013 06:18:14 GMT"
,<http://web.archive.org/web/20131227061818/http://line.me/en/>;rel="memento"; datetime="Fri, 27 Dec 2013 06:18:18 GMT"
,<http://web.archive.org/web/20131227220213/http://line.me/en>;rel="memento"; datetime="Fri, 27 Dec 2013 22:02:13 GMT"
,<http://web.archive.org/web/20131227220214/http://line.me/en/>;rel="memento"; datetime="Fri, 27 Dec 2013 22:02:14 GMT"
,<http://web.archive.org/web/20131228003903/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 00:39:03 GMT"
,<http://web.archive.org/web/20131228003904/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 00:39:04 GMT"
,<http://web.archive.org/web/20131228005458/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 00:54:58 GMT"
,<http://web.archive.org/web/20131228005459/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 00:54:59 GMT"
,<http://web.archive.org/web/20131228033437/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 03:34:37 GMT"
,<http://web.archive.org/web/20131228033438/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 03:34:38 GMT"
,<http://web.archive.org/web/20131228034417/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 03:44:17 GMT"
,<http://web.archive.org/web/20131228034418/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 03:44:18 GMT"
,<http://web.archive.org/web/20131228054059/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 05:40:59 GMT"
,<http://web.archive.org/web/20131228054101/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 05:41:01 GMT"
,<http://web.archive.org/web/20131228114708/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 11:47:08 GMT"
,<http://web.archive.org/web/20131228185103/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 18:51:03 GMT"
,<http://web.archive.org/web/20131228223228/http://line.me/en>;rel="memento"; datetime="Sat, 28 Dec 2013 22:32:28 GMT"
,<http://web.archive.org/web/20131228223229/http://line.me/en/>;rel="memento"; datetime="Sat, 28 Dec 2013 22:32:29 GMT"
,<http://web.archive.org/web/20131229004538/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 00:45:38 GMT"
,<http://web.archive.org/web/20131229004539/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 00:45:39 GMT"
,<http://web.archive.org/web/20131229013500/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 01:35:00 GMT"
,<http://web.archive.org/web/20131229013501/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 01:35:01 GMT"
,<http://web.archive.org/web/20131229045344/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 04:53:44 GMT"
,<http://web.archive.org/web/20131229045345/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 04:53:45 GMT"
,<http://web.archive.org/web/20131229053735/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 05:37:35 GMT"
,<http://web.archive.org/web/20131229053736/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 05:37:36 GMT"
,<http://web.archive.org/web/20131229061253/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 06:12:53 GMT"
,<http://web.archive.org/web/20131229061254/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 06:12:54 GMT"
,<http://web.archive.org/web/20131229153824/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 15:38:24 GMT"
,<http://web.archive.org/web/20131229230829/http://line.me/en>;rel="memento"; datetime="Sun, 29 Dec 2013 23:08:29 GMT"
,<http://web.archive.org/web/20131229230830/http://line.me/en/>;rel="memento"; datetime="Sun, 29 Dec 2013 23:08:30 GMT"
,<http://web.archive.org/web/20131230014310/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 01:43:10 GMT"
,<http://web.archive.org/web/20131230014311/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 01:43:11 GMT"
,<http://web.archive.org/web/20131230021632/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 02:16:32 GMT"
,<http://web.archive.org/web/20131230021633/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 02:16:33 GMT"
,<http://web.archive.org/web/20131230024135/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 02:41:35 GMT"
,<http://web.archive.org/web/20131230063145/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 06:31:45 GMT"
,<http://web.archive.org/web/20131230063146/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 06:31:46 GMT"
,<http://web.archive.org/web/20131230072453/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 07:24:53 GMT"
,<http://web.archive.org/web/20131230072455/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 07:24:55 GMT"
,<http://web.archive.org/web/20131230211850/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 21:18:50 GMT"
,<http://web.archive.org/web/20131230211851/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 21:18:51 GMT"
,<http://web.archive.org/web/20131230235724/http://line.me/en>;rel="memento"; datetime="Mon, 30 Dec 2013 23:57:24 GMT"
,<http://web.archive.org/web/20131230235725/http://line.me/en/>;rel="memento"; datetime="Mon, 30 Dec 2013 23:57:25 GMT"
,<http://web.archive.org/web/20131231033626/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 03:36:26 GMT"
,<http://web.archive.org/web/20131231033628/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 03:36:28 GMT"
,<http://web.archive.org/web/20131231065836/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 06:58:36 GMT"
,<http://web.archive.org/web/20131231065837/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 06:58:37 GMT"
,<http://web.archive.org/web/20131231092951/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 09:29:51 GMT"
,<http://web.archive.org/web/20131231092953/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 09:29:53 GMT"
,<http://web.archive.org/web/20131231212940/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 21:29:40 GMT"
,<http://web.archive.org/web/20131231212941/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 21:29:41 GMT"
,<http://web.archive.org/web/20131231220949/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 22:09:49 GMT"
,<http://web.archive.org/web/20131231220950/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 22:09:50 GMT"
,<http://web.archive.org/web/20131231222336/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 22:23:36 GMT"
,<http://web.archive.org/web/20131231222337/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 22:23:37 GMT"
,<http://web.archive.org/web/20131231223444/http://line.me/en>;rel="memento"; datetime="Tue, 31 Dec 2013 22:34:44 GMT"
,<http://web.archive.org/web/20131231223445/http://line.me/en/>;rel="memento"; datetime="Tue, 31 Dec 2013 22:34:45 GMT"
,<http://web.archive.org/web/20140101062710/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 06:27:10 GMT"
,<http://web.archive.org/web/20140101062711/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 06:27:11 GMT"
,<http://web.archive.org/web/20140101104607/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 10:46:07 GMT"
,<http://web.archive.org/web/20140101104608/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 10:46:08 GMT"
,<http://web.archive.org/web/20140101220631/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 22:06:31 GMT"
,<http://web.archive.org/web/20140101220633/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 22:06:33 GMT"
,<http://web.archive.org/web/20140101222748/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 22:27:48 GMT"
,<http://web.archive.org/web/20140101222749/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 22:27:49 GMT"
,<http://web.archive.org/web/20140101223709/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 22:37:09 GMT"
,<http://web.archive.org/web/20140101223710/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 22:37:10 GMT"
,<http://web.archive.org/web/20140101232143/http://line.me/en>;rel="memento"; datetime="Wed, 01 Jan 2014 23:21:43 GMT"
,<http://web.archive.org/web/20140101232144/http://line.me/en/>;rel="memento"; datetime="Wed, 01 Jan 2014 23:21:44 GMT"
,<http://web.archive.org/web/20140102104213/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 10:42:13 GMT"
,<http://web.archive.org/web/20140102104214/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 10:42:14 GMT"
,<http://web.archive.org/web/20140102133003/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 13:30:03 GMT"
,<http://web.archive.org/web/20140102133005/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 13:30:05 GMT"
,<http://web.archive.org/web/20140102201507/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 20:15:07 GMT"
,<http://web.archive.org/web/20140102201509/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 20:15:09 GMT"
,<http://web.archive.org/web/20140102203548/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 20:35:48 GMT"
,<http://web.archive.org/web/20140102203549/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 20:35:49 GMT"
,<http://web.archive.org/web/20140102225119/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 22:51:19 GMT"
,<http://web.archive.org/web/20140102225120/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 22:51:20 GMT"
,<http://web.archive.org/web/20140102234719/http://line.me/en>;rel="memento"; datetime="Thu, 02 Jan 2014 23:47:19 GMT"
,<http://web.archive.org/web/20140102234720/http://line.me/en/>;rel="memento"; datetime="Thu, 02 Jan 2014 23:47:20 GMT"
,<http://web.archive.org/web/20140103073513/http://line.me/en>;rel="memento"; datetime="Fri, 03 Jan 2014 07:35:13 GMT"
,<http://web.archive.org/web/20140103073514/http://line.me/en/>;rel="memento"; datetime="Fri, 03 Jan 2014 07:35:14 GMT"
,<http://web.archive.org/web/20140103094302/http://line.me/en>;rel="memento"; datetime="Fri, 03 Jan 2014 09:43:02 GMT"
,<http://web.archive.org/web/20140103094303/http://line.me/en/>;rel="memento"; datetime="Fri, 03 Jan 2014 09:43:03 GMT"
,<http://web.archive.org/web/20140103205517/http://line.me/en>;rel="memento"; datetime="Fri, 03 Jan 2014 20:55:17 GMT"
,<http://web.archive.org/web/20140103205518/http://line.me/en/>;rel="memento"; datetime="Fri, 03 Jan 2014 20:55:18 GMT"
,<http://web.archive.org/web/20140103212001/http://line.me/en>;rel="memento"; datetime="Fri, 03 Jan 2014 21:20:01 GMT"
,<http://web.archive.org/web/20140103212003/http://line.me/en/>;rel="memento"; datetime="Fri, 03 Jan 2014 21:20:03 GMT"
,<http://web.archive.org/web/20140103232456/http://line.me/en>;rel="memento"; datetime="Fri, 03 Jan 2014 23:24:56 GMT"
,<http://web.archive.org/web/20140103232457/http://line.me/en/>;rel="memento"; datetime="Fri, 03 Jan 2014 23:24:57 GMT"
,<http://web.archive.org/web/20140104004101/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 00:41:01 GMT"
,<http://web.archive.org/web/20140104004102/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 00:41:02 GMT"
,<http://web.archive.org/web/20140104090459/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 09:04:59 GMT"
,<http://web.archive.org/web/20140104090501/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 09:05:01 GMT"
,<http://web.archive.org/web/20140104104824/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 10:48:24 GMT"
,<http://web.archive.org/web/20140104104825/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 10:48:25 GMT"
,<http://web.archive.org/web/20140104175622/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 17:56:22 GMT"
,<http://web.archive.org/web/20140104175623/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 17:56:23 GMT"
,<http://web.archive.org/web/20140104213704/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 21:37:04 GMT"
,<http://web.archive.org/web/20140104213705/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 21:37:05 GMT"
,<http://web.archive.org/web/20140104234735/http://line.me/en>;rel="memento"; datetime="Sat, 04 Jan 2014 23:47:35 GMT"
,<http://web.archive.org/web/20140104234736/http://line.me/en/>;rel="memento"; datetime="Sat, 04 Jan 2014 23:47:36 GMT"
,<http://web.archive.org/web/20140105013049/http://line.me/en/>;rel="memento"; datetime="Sun, 05 Jan 2014 01:30:49 GMT"
,<http://web.archive.org/web/20140105082626/http://line.me/en>;rel="memento"; datetime="Sun, 05 Jan 2014 08:26:26 GMT"
,<http://web.archive.org/web/20140105082628/http://line.me/en/>;rel="memento"; datetime="Sun, 05 Jan 2014 08:26:28 GMT"
,<http://web.archive.org/web/20140105123500/http://line.me/en>;rel="memento"; datetime="Sun, 05 Jan 2014 12:35:00 GMT"
,<http://web.archive.org/web/20140105123501/http://line.me/en/>;rel="memento"; datetime="Sun, 05 Jan 2014 12:35:01 GMT"
