<https://www.youtube.com/user/tyleroakley>;rel="original"
, <http://wayback.archive-it.org/all/20100326201709/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 26 Mar 2010 16:17:09 GMT"
, <http://wayback.archive-it.org/all/20100526053646/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 May 2010 01:36:46 GMT"
, <http://web.archive.org/web/20100621033909/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 20 Jun 2010 23:39:09 GMT"
, <http://wayback.archive-it.org/all/20100723214616/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 23 Jul 2010 17:46:16 GMT"
, <http://wayback.archive-it.org/all/20100723214618/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 23 Jul 2010 17:46:18 GMT"
, <http://web.archive.org/web/20100728203120/http://www.youtube.com/user/tyleroakley?>;rel="memento"; datetime="Wed, 28 Jul 2010 16:31:20 GMT"
, <http://wayback.archive-it.org/all/20100803192247/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 03 Aug 2010 15:22:47 GMT"
, <http://wayback.archive-it.org/all/20100803192249/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Tue, 03 Aug 2010 15:22:49 GMT"
, <http://web.archive.org/web/20100807175409/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 07 Aug 2010 13:54:09 GMT"
, <http://web.archive.org/web/20100807175417/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 07 Aug 2010 13:54:17 GMT"
, <http://web.archive.org/web/20100814080310/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 14 Aug 2010 04:03:10 GMT"
, <http://web.archive.org/web/20100814080318/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 14 Aug 2010 04:03:18 GMT"
, <http://web.archive.org/web/20100824094444/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 24 Aug 2010 05:44:44 GMT"
, <http://web.archive.org/web/20100824094457/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Tue, 24 Aug 2010 05:44:57 GMT"
, <http://wayback.archive-it.org/all/20101003032820/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 02 Oct 2010 23:28:20 GMT"
, <http://wayback.archive-it.org/all/20101003032821/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 02 Oct 2010 23:28:21 GMT"
, <http://wayback.archive-it.org/all/20101116110833/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Nov 2010 06:08:33 GMT"
, <http://wayback.archive-it.org/all/20101116110843/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Tue, 16 Nov 2010 06:08:43 GMT"
, <http://wayback.archive-it.org/all/20101117140037/https://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Wed, 17 Nov 2010 09:00:37 GMT"
, <http://wayback.archive-it.org/all/20101117163536/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Nov 2010 11:35:36 GMT"
, <http://wayback.archive-it.org/all/20101122231211/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 22 Nov 2010 18:12:11 GMT"
, <http://wayback.archive-it.org/all/20101122231218/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Mon, 22 Nov 2010 18:12:18 GMT"
, <http://wayback.archive-it.org/all/20101129230845/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 29 Nov 2010 18:08:45 GMT"
, <http://wayback.archive-it.org/all/20101129230847/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Mon, 29 Nov 2010 18:08:47 GMT"
, <http://wayback.archive-it.org/all/20101203183437/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 03 Dec 2010 13:34:37 GMT"
, <http://wayback.archive-it.org/all/20101203183451/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 03 Dec 2010 13:34:51 GMT"
, <http://web.archive.org/web/20101208054737/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Wed, 08 Dec 2010 00:47:37 GMT"
, <http://wayback.archive-it.org/all/20101210205235/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 10 Dec 2010 15:52:35 GMT"
, <http://wayback.archive-it.org/all/20101210205241/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 10 Dec 2010 15:52:41 GMT"
, <http://wayback.archive-it.org/all/20101211092857/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 11 Dec 2010 04:28:57 GMT"
, <http://wayback.archive-it.org/all/20101211092900/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 11 Dec 2010 04:29:00 GMT"
, <http://wayback.archive-it.org/all/20101212085215/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 12 Dec 2010 03:52:15 GMT"
, <http://wayback.archive-it.org/all/20101212085222/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sun, 12 Dec 2010 03:52:22 GMT"
, <http://wayback.archive-it.org/all/20101213084511/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 13 Dec 2010 03:45:11 GMT"
, <http://wayback.archive-it.org/all/20101213084518/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Mon, 13 Dec 2010 03:45:18 GMT"
, <http://wayback.archive-it.org/all/20101217221841/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 17 Dec 2010 17:18:41 GMT"
, <http://wayback.archive-it.org/all/20101217221843/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 17 Dec 2010 17:18:43 GMT"
, <http://wayback.archive-it.org/all/20101224232307/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 24 Dec 2010 18:23:07 GMT"
, <http://wayback.archive-it.org/all/20101224232315/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 24 Dec 2010 18:23:15 GMT"
, <http://wayback.archive-it.org/all/20101231224621/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 31 Dec 2010 17:46:21 GMT"
, <http://wayback.archive-it.org/all/20101231224634/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 31 Dec 2010 17:46:34 GMT"
, <http://wayback.archive-it.org/all/20110104164035/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 04 Jan 2011 11:40:35 GMT"
, <http://wayback.archive-it.org/all/20110104220011/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Tue, 04 Jan 2011 17:00:11 GMT"
, <http://wayback.archive-it.org/all/20110107230149/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Jan 2011 18:01:49 GMT"
, <http://wayback.archive-it.org/all/20110107230222/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 07 Jan 2011 18:02:22 GMT"
, <http://wayback.archive-it.org/all/20110114234541/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Jan 2011 18:45:41 GMT"
, <http://wayback.archive-it.org/all/20110114234542/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Fri, 14 Jan 2011 18:45:42 GMT"
, <http://wayback.archive-it.org/all/20110123091422/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 23 Jan 2011 04:14:22 GMT"
, <http://wayback.archive-it.org/all/20110127021736/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Jan 2011 21:17:36 GMT"
, <http://wayback.archive-it.org/all/20110127021749/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Wed, 26 Jan 2011 21:17:49 GMT"
, <http://wayback.archive-it.org/all/20110227093501/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 27 Feb 2011 04:35:01 GMT"
, <http://wayback.archive-it.org/all/20110227093503/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sun, 27 Feb 2011 04:35:03 GMT"
, <http://wayback.archive-it.org/all/20110606095135/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 06 Jun 2011 05:51:35 GMT"
, <http://wayback.archive-it.org/all/20110606232159/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 06 Jun 2011 19:21:59 GMT"
, <http://wayback.archive-it.org/all/20110607221009/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 07 Jun 2011 18:10:09 GMT"
, <http://wayback.archive-it.org/all/20110609093554/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 09 Jun 2011 05:35:54 GMT"
, <http://wayback.archive-it.org/all/20110612231755/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 12 Jun 2011 19:17:55 GMT"
, <http://wayback.archive-it.org/all/20110616215528/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 16 Jun 2011 17:55:28 GMT"
, <http://wayback.archive-it.org/all/20110623065013/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 23 Jun 2011 02:50:13 GMT"
, <http://wayback.archive-it.org/all/20110808090908/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Aug 2011 05:09:08 GMT"
, <http://wayback.archive-it.org/all/20110808101108/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Aug 2011 06:11:08 GMT"
, <http://web.archive.org/web/20110913103051/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Sep 2011 06:30:51 GMT"
, <http://web.archive.org/web/20111107083547/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 07 Nov 2011 03:35:47 GMT"
, <http://web.archive.org/web/20111123202307/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 23 Nov 2011 15:23:07 GMT"
, <http://web.archive.org/web/20111218002406/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 17 Dec 2011 19:24:06 GMT"
, <http://wayback.archive-it.org/all/20111219200927/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 19 Dec 2011 15:09:27 GMT"
, <http://wayback.archive-it.org/all/20111219200938/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Mon, 19 Dec 2011 15:09:38 GMT"
, <http://wayback.archive-it.org/all/20111220082554/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 20 Dec 2011 03:25:54 GMT"
, <http://wayback.archive-it.org/all/20111220082618/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Tue, 20 Dec 2011 03:26:18 GMT"
, <http://web.archive.org/web/20120116165318/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 16 Jan 2012 11:53:18 GMT"
, <http://web.archive.org/web/20120124075043/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 24 Jan 2012 02:50:43 GMT"
, <http://web.archive.org/web/20120128171913/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 28 Jan 2012 12:19:13 GMT"
, <http://web.archive.org/web/20120214162421/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 14 Feb 2012 11:24:21 GMT"
, <http://web.archive.org/web/20120217160434/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 17 Feb 2012 11:04:34 GMT"
, <http://web.archive.org/web/20120222233238/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 22 Feb 2012 18:32:38 GMT"
, <http://web.archive.org/web/20120225092655/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 25 Feb 2012 04:26:55 GMT"
, <http://web.archive.org/web/20120315012237/http://www.youtube.com/user/tyleroakley?>;rel="memento"; datetime="Wed, 14 Mar 2012 21:22:37 GMT"
, <http://web.archive.org/web/20120413002636/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 12 Apr 2012 20:26:36 GMT"
, <http://wayback.archive-it.org/all/20120414060011/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 14 Apr 2012 02:00:11 GMT"
, <http://wayback.archive-it.org/all/20120414060304/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 14 Apr 2012 02:03:04 GMT"
, <http://web.archive.org/web/20120428204006/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 28 Apr 2012 16:40:06 GMT"
, <http://wayback.archive-it.org/all/20120722000843/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 21 Jul 2012 20:08:43 GMT"
, <http://web.archive.org/web/20120909160647/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 09 Sep 2012 12:06:47 GMT"
, <https://swap.stanford.edu/20121112000214/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 11 Nov 2012 19:02:14 GMT"
, <http://wayback.archive-it.org/all/20121208090412/http://www.youtube.com//user//tyleroakley>;rel="memento"; datetime="Sat, 08 Dec 2012 04:04:12 GMT"
, <http://wayback.archive-it.org/all/20121215075507/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Dec 2012 02:55:07 GMT"
, <http://web.archive.org/web/20130106020616/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 05 Jan 2013 21:06:16 GMT"
, <http://wayback.archive-it.org/all/20130131234505/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 31 Jan 2013 18:45:05 GMT"
, <http://web.archive.org/web/20130214165438/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Feb 2013 11:54:38 GMT"
, <http://web.archive.org/web/20130224151510/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 24 Feb 2013 10:15:10 GMT"
, <http://web.archive.org/web/20130226062537/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 26 Feb 2013 01:25:37 GMT"
, <http://web.archive.org/web/20130302012232/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 01 Mar 2013 20:22:32 GMT"
, <http://web.archive.org/web/20130302071902/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 02 Mar 2013 02:19:02 GMT"
, <http://web.archive.org/web/20130402194722/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 02 Apr 2013 15:47:22 GMT"
, <http://web.archive.org/web/20130402194724/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 02 Apr 2013 15:47:24 GMT"
, <http://web.archive.org/web/20130408123511/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Apr 2013 08:35:11 GMT"
, <http://web.archive.org/web/20130420063643/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Apr 2013 02:36:43 GMT"
, <http://wayback.archive-it.org/all/20130420103413/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Apr 2013 06:34:13 GMT"
, <http://web.archive.org/web/20130420172522/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Apr 2013 13:25:22 GMT"
, <http://web.archive.org/web/20130423093145/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Apr 2013 05:31:45 GMT"
, <http://web.archive.org/web/20130423193337/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Apr 2013 15:33:37 GMT"
, <http://web.archive.org/web/20130424113128/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 24 Apr 2013 07:31:28 GMT"
, <http://web.archive.org/web/20130430015513/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 29 Apr 2013 21:55:13 GMT"
, <http://web.archive.org/web/20130430022423/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 29 Apr 2013 22:24:23 GMT"
, <http://web.archive.org/web/20130530023405/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 29 May 2013 22:34:05 GMT"
, <http://wayback.archive-it.org/all/20130612192835/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 12 Jun 2013 15:28:35 GMT"
, <http://wayback.archive-it.org/all/20130614001017/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 13 Jun 2013 20:10:17 GMT"
, <http://wayback.archive-it.org/all/20130615003343/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Jun 2013 20:33:43 GMT"
, <http://wayback.archive-it.org/all/20130616002435/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Jun 2013 20:24:35 GMT"
, <http://wayback.archive-it.org/all/20130616234203/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 16 Jun 2013 19:42:03 GMT"
, <http://wayback.archive-it.org/all/20130618010609/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 17 Jun 2013 21:06:09 GMT"
, <http://wayback.archive-it.org/all/20130619001422/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 18 Jun 2013 20:14:22 GMT"
, <http://wayback.archive-it.org/all/20130620014413/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 19 Jun 2013 21:44:13 GMT"
, <http://wayback.archive-it.org/all/20130621004102/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 20 Jun 2013 20:41:02 GMT"
, <http://wayback.archive-it.org/all/20130622064932/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 22 Jun 2013 02:49:32 GMT"
, <http://wayback.archive-it.org/all/20130623010544/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 22 Jun 2013 21:05:44 GMT"
, <http://wayback.archive-it.org/all/20130624000913/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 23 Jun 2013 20:09:13 GMT"
, <http://wayback.archive-it.org/all/20130625001812/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 24 Jun 2013 20:18:12 GMT"
, <http://wayback.archive-it.org/all/20130625025625/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 24 Jun 2013 22:56:25 GMT"
, <http://wayback.archive-it.org/all/20130626003751/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 25 Jun 2013 20:37:51 GMT"
, <http://wayback.archive-it.org/all/20130626154435/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Jun 2013 11:44:35 GMT"
, <http://wayback.archive-it.org/all/20130626163734/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Jun 2013 12:37:34 GMT"
, <http://wayback.archive-it.org/all/20130627012758/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Jun 2013 21:27:58 GMT"
, <http://wayback.archive-it.org/all/20130627233655/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 27 Jun 2013 19:36:55 GMT"
, <http://wayback.archive-it.org/all/20130628225712/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 28 Jun 2013 18:57:12 GMT"
, <http://wayback.archive-it.org/all/20130705001830/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 04 Jul 2013 20:18:30 GMT"
, <http://wayback.archive-it.org/all/20130705235430/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Jul 2013 19:54:30 GMT"
, <http://wayback.archive-it.org/all/20130707002045/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 06 Jul 2013 20:20:45 GMT"
, <http://wayback.archive-it.org/all/20130708002601/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 07 Jul 2013 20:26:01 GMT"
, <http://wayback.archive-it.org/all/20130709010047/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Jul 2013 21:00:47 GMT"
, <http://wayback.archive-it.org/all/20130716153952/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Jul 2013 11:39:52 GMT"
, <http://web.archive.org/web/20130717051941/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Jul 2013 01:19:41 GMT"
, <http://web.archive.org/web/20130719074625/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 19 Jul 2013 03:46:25 GMT"
, <http://wayback.archive-it.org/all/20130720003119/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 19 Jul 2013 20:31:19 GMT"
, <http://wayback.archive-it.org/all/20130723164823/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Jul 2013 12:48:23 GMT"
, <http://wayback.archive-it.org/all/20130730191952/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 30 Jul 2013 15:19:52 GMT"
, <http://web.archive.org/web/20130807082148/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 07 Aug 2013 04:21:48 GMT"
, <http://wayback.archive-it.org/all/20130807165615/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 07 Aug 2013 12:56:15 GMT"
, <http://web.archive.org/web/20130808153645/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 08 Aug 2013 11:36:45 GMT"
, <http://web.archive.org/web/20130814055130/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Aug 2013 01:51:30 GMT"
, <http://web.archive.org/web/20130814144909/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Aug 2013 10:49:09 GMT"
, <http://web.archive.org/web/20130817161656/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 17 Aug 2013 12:16:56 GMT"
, <http://web.archive.org/web/20130822081133/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 22 Aug 2013 04:11:33 GMT"
, <http://wayback.archive-it.org/all/20130829074206/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 29 Aug 2013 03:42:06 GMT"
, <http://web.archive.org/web/20130830033245/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 29 Aug 2013 23:32:45 GMT"
, <http://web.archive.org/web/20130831101150/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 31 Aug 2013 06:11:50 GMT"
, <http://web.archive.org/web/20130903082037/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 03 Sep 2013 04:20:37 GMT"
, <http://web.archive.org/web/20130903084000/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 03 Sep 2013 04:40:00 GMT"
, <http://web.archive.org/web/20130904004626/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 03 Sep 2013 20:46:26 GMT"
, <http://web.archive.org/web/20130905050413/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 05 Sep 2013 01:04:13 GMT"
, <http://web.archive.org/web/20130907011043/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Sep 2013 21:10:43 GMT"
, <http://wayback.archive-it.org/all/20130907025114/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Sep 2013 22:51:14 GMT"
