Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
Green Eggs and Ham Mondays 8-10am	0	0	3	0	1	1	1	3	0	0	0	2	3	0	11	0	2	0	0	1	6	0	0	0	0	0	0	0	5	0	2	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	3	1	0	0	5	1	3	0	1	0	0	0	1	1	2	1	1	0	7	0	0	1	3	16	0	3	0	1	0	1	1	1	0	0	0	0	0	3	0	5	3	2	1	0	0	3	4	2	0	0	1	1	0	0	5	0	0	2	5	0	8	0	0	4	0	0	1	0	0	0	6	0	0	1	0	1	1	0	3	0	6	13	0	0	3	0	0	1	0	2	6	6	0	6	1	6	0	0	0	0	0	0	0	1	1	5	5	1	0	0	1	0	7	0	1	0	0	1	0	0	7	2	0	0	0	0	0	0	0	0	8	3	0	0	1	1	0	5	0	1	0	1	0	0	6	14	0	1	0	1	3	0	0	1	0	0	0	2	2	1	0	0	1	8	0	1	0	0	11	1	2	0	11	1	1	2	8	9	5	0	3	0	0	0	1	1	2	0	0	2	2	0	6	3	1	12	21	0	3	10	0	0	1	2	4	0	4	0	1	0	1	1	6	2	0	2	1	1	0	0	0	0	0	0	2	0	0	0	2	2	0	4	2	4	2	1	0	0	0	0	4	1	1	3	0	0	8	0	0	3	0	0	1	0	0	0	2	0	0	2	2	0	0	4	0	10	0	0	3	0	0	3	1	1	0	0	0	0	4	0	0	1	1	1	2	3	1	2	8	0	0	0	0	0	0	0	7	0	2	2	1	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	4	0	1	1	14	0	3	0	0	3	0	6	0	0	0	1	0	0	0	0	0	3	8	2	1	12	22	0	0	0	23	0	1	4	0	0	0	1	4	0	0	0	0	0	8	2	3	1	4	1	0	0	1	2	0	0	1	0	0	2	0	0	0	2	4	2	0	9	32	12	3	1	1	0	0	0	5	3	1	0	0	2	0	0	4	0	1	3	0	1	1	0	0	1	3	2	0	0	0	4	0	74	1	8	0	1	3	7	1	1	7	2	21	0	30	4	0	1	2	6	3	0	0
One Base on an Overthrow	4	1	3	0	11	0	6	4	1	4	1	2	1	6	7	4	0	19	2	1	1	28	10	20	9	1	12	21	5	2	0	14	6	67	10	4	3	0	4	0	14	3	0	2	1	0	42	0	5	20	5	1	0	0	2	3	4	0	11	1	0	11	5	0	2	12	2	7	7	4	0	2	1	2	0	0	0	2	6	5	0	1	0	5	3	2	0	0	52	1	5	5	1	0	22	29	0	0	9	3	0	1	62	4	4	1	1	2	2	2	2	0	2	1	3	5	5	1	7	4	2	20	8	0	3	1	1	1	28	5	0	1	3	2	3	5	2	7	6	2	2	0	2	5	13	5	0	1	3	2	2	1	11	1	2	1	9	12	2	22	1	1	2	2	3	0	1	0	0	13	1	2	2	3	10	2	6	4	8	2	56	1	0	27	1	1	3	1	0	3	1	0	2	0	1	6	3	4	0	1	1	0	2	20	15	3	10	8	3	0	3	0	0	2	0	6	7	1	5	7	7	10	0	2	18	0	0	3	2	2	0	0	13	4	6	1	0	3	0	0	10	1	4	7	6	1	6	3	4	0	0	1	0	2	1	4	1	2	2	1	3	0	0	0	1	5	10	0	1	5	1	3	0	1	3	5	0	11	2	0	2	1	6	0	4	7	0	11	6	8	8	1	0	2	9	6	2	3	3	4	1	0	5	1	3	7	8	1	1	19	6	3	1	0	2	1	0	13	0	0	6	2	1	0	0	1	0	3	2	3	9	9	2	2	5	1	1	18	1	3	4	1	0	10	0	0	0	3	0	1	20	2	0	4	0	5	9	5	10	4	3	1	50	1	6	6	0	26	27	6	3	4	0	0	54	0	3	5	6	6	13	0	2	0	6	4	1	5	0	1	3	1	0	0	1	0	0	4	2	4	0	3	1	0	2	11	0	4	27	1	6	4	1	11	2	2	8	23	4	0	1	7	0	0	2	4	4	4	8	3	0	2	7	0	1	3	1	9	4	6	8	1	0	2	3	1	0	3	8	4	0	1	19	1	21	2	26	0	0	2	3	10	2	8	1	1	0	6	26	0	6	0	0	6	0	6	6	11	0	1	7	11	0	1	2	0	4	12	2	7	1	1	1	3	1	0	0	0	6	1
GLI Press	1	0	0	0	0	3	1	0	0	1	0	2	1	0	0	0	0	1	1	1	0	1	0	1	2	1	0	1	0	3	1	0	1	1	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	2	0	0	3	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	3	0	0	1	1	4	1	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	29	0	0	0	3	1	0	1	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	3	0	0	2	0	0	0	5	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	1	0	4	1	0	0	0	1	0	1	1	0	0	0	0	7	0	0	0	2	0	3	0	0	0	0	0	0	7	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	4	3	0	0	0	0	2	1	4	0	1	6	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	1	0	0	2	1	0	0	2	1	1	1	3	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	2	2	4	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	3	0	30	0	0	0	0	0	0	0	0	0	1	6	0	21	1	0	0	0	0	2	0	2	1	0	1	1	1	10	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	2	1	0	0	2	0	0	2	0	1	0	1	1	2	1	1	0	0	1	3	0	2	0	4	0	0	0	0	1	0	0	0	2	0	4	0	2	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	3	0	0	0	0	0	2	0	0
turnitup!	3	2	28	1	0	0	2	12	0	0	0	1	3	1	0	5	0	12	1	0	37	0	1	5	15	1	0	0	1	2	1	0	0	0	2	3	4	0	2	4	0	2	2	6	2	1	1	9	3	2	1	1	1	0	0	1	0	3	4	9	4	1	2	1	4	1	0	0	0	0	0	27	0	0	0	9	9	0	2	2	2	1	5	0	2	0	0	18	5	2	0	31	3	0	2	3	6	0	1	1	6	0	2	9	1	1	1	1	0	1	1	3	0	1	3	5	8	0	0	6	0	1	2	2	4	19	4	6	0	2	18	3	2	0	3	4	0	4	0	10	3	2	3	0	0	0	0	2	6	0	7	3	0	1	2	0	1	0	1	5	2	0	0	1	0	2	1	1	0	4	0	6	0	0	11	0	4	0	2	1	1	1	4	3	0	1	2	15	0	0	2	3	0	6	0	0	10	1	0	4	0	5	4	0	5	1	1	4	0	1	0	9	4	0	54	1	6	3	3	2	2	1	2	0	0	1	18	1	3	1	1	2	0	0	1	11	2	1	3	1	1	0	2	7	3	4	1	0	1	18	1	2	2	0	0	0	0	1	1	7	0	30	9	9	0	1	5	0	0	1	0	0	5	4	0	0	5	7	9	4	6	10	2	0	3	4	0	0	1	1	4	0	1	2	1	0	0	4	0	0	2	1	0	0	2	0	0	0	9	2	0	2	1	3	7	1	0	11	9	1	2	0	1	1	1	0	0	0	0	2	4	4	0	0	0	0	3	3	4	2	8	1	2	1	7	18	0	4	1	1	1	0	0	0	0	2	1	4	1	3	0	1	2	2	0	0	18	1	6	1	1	1	9	0	1	0	6	0	0	2	3	135	2	0	1	0	6	0	0	1	1	0	3	1	2	0	1	6	1	1	0	1	2	4	0	1	2	2	1	3	4	1	0	2	2	3	5	4	4	1	1	2	2	2	0	1	3	2	1	2	1	3	1	2	1	1	0	1	1	1	2	2	18	1	0	4	0	2	3	1	6	6	0	3	3	1	0	1	4	1	6	0	0	0	2	2	0	9	0	4	7	3	0	16	0	3	0	1	3	0	3	0	0	9	3	10	1	1	5	4	4	1	0	0	1	18	72	1	1	2
Stories From the City, Stories From the Sea	2	1	0	2	1	0	0	1	3	0	3	14	1	1	14	3	3	3	1	2	0	1	1	0	1	4	0	4	11	0	2	0	0	3	16	0	1	2	2	25	1	9	0	5	2	4	6	0	3	0	1	1	3	0	12	1	11	3	3	1	1	4	4	0	16	1	2	1	9	12	0	20	2	0	3	0	0	41	2	0	0	38	0	5	7	0	0	0	6	6	0	5	19	1	8	3	4	0	0	0	2	3	1	2	0	2	11	17	1	12	0	1	4	2	1	1	71	4	1	2	0	0	0	6	5	3	1	18	0	0	0	0	0	0	3	11	2	3	20	8	15	6	0	2	0	8	0	4	1	5	1	2	6	2	2	0	19	0	7	2	4	1	35	0	1	0	3	2	0	9	2	1	2	1	2	0	2	1	2	2	10	3	26	15	0	3	4	12	6	2	7	5	0	4	1	1	2	1	3	1	0	1	1	2	18	2	0	1	0	20	0	0	1	0	1	1	5	4	8	0	6	1	55	3	0	0	0	0	2	4	1	2	1	0	3	8	1	1	5	22	1	11	25	2	2	19	0	0	5	0	1	0	11	1	2	0	5	0	15	11	0	12	0	0	1	1	4	17	1	0	1	24	11	7	1	3	3	6	6	4	7	3	4	0	3	0	5	9	0	3	3	3	21	0	3	0	4	0	1	0	11	1	5	1	9	5	0	11	10	0	16	14	0	3	9	87	1	1	0	0	0	0	6	2	18	0	1	0	0	1	2	0	0	0	4	1	2	0	0	5	3	2	11	1	16	0	1	6	3	0	3	0	0	2	1	2	2	8	11	3	2	2	1	6	0	0	0	6	12	21	0	4	0	0	1	3	1	3	2	4	6	0	0	2	5	3	3	0	57	1	9	1	0	0	0	0	2	24	3	5	1	1	31	22	2	2	1	50	5	8	8	3	0	0	15	3	2	11	3	3	0	6	26	3	10	21	1	1	0	4	3	1	0	8	1	4	3	0	1	1	6	2	1	1	33	294	23	0	1	4	1	2	0	2	19	0	2	3	5	9	3	9	7	0	1	0	0	2	2	5	2	27	1	8	0	2	3	0	129	2	24	0	0	0	12	0	2	19	6	12	8	24	6	0	1	6	0	1	1	4
Lost in the Shuffle	2	0	0	0	0	0	0	0	0	0	4	2	3	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	8	0	0	0	0	0	0	0	0	6	1	14	0	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	1	0	7	1	0	0	0	10	0	3	0	0	0	0	0	9	0	1	0	1	0	0	1	1	0	0	0	2	0	1	5	1	0	0	0	0	0	0	9	0	1	3	0	0	0	0	0	13	0	0	0	1	2	0	10	0	0	1	0	0	0	0	1	0	1	8	0	0	3	0	0	0	0	7	0	2	0	4	5	1	0	0	0	0	0	0	0	4	2	5	2	0	1	1	0	0	2	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	5	5	0	17	9	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	8	0	0	0	2	0	0	1	21	3	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	7	1	13	6	0	0	3	0	0	1	0	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	3	3	0	2	0	0	0	5	10	0	1	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	1	0	25	0	1	0	6	0	1	0	63	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	8	0	1	0	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0	14	0	0	3	1	0	15	0	0	1	0	0	14	13	0	0	7	15	1	0	0	20	1	1	2	0	0	0	0	0	0	4	0	17	0	7	4	2	3	7	0	11	0	0	13	0	0	1	0	1	0	0	0	0	1	5	0	0	1	2	15	1	3	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	138	0	11	0	0	0	0	0	0	7	0	8	2	5	0	0	0	0	0	13	3	0
A H T A P O T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	17	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	2	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	9	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Floorshime Zipper Boots	0	12	0	0	0	1	3	0	0	0	1	0	0	10	1	3	0	11	0	0	0	2	0	0	3	19	0	0	1	0	0	0	1	0	0	0	0	0	0	92	1	3	1	4	6	0	0	0	1	24	1	0	0	0	0	0	0	0	0	4	1	3	23	0	0	2	0	0	1	3	0	1	0	1	0	0	0	12	0	1	0	0	0	7	4	0	0	0	0	1	0	0	0	0	122	4	10	184	48	0	0	1	0	0	0	0	1	0	2	2	0	3	2	2	2	2	0	0	1	0	1	90	1	2	0	8	5	3	0	0	0	11	0	2	2	0	0	1	0	1	0	2	14	0	0	0	1	11	4	0	1	1	1	1	0	8	1	0	0	1	0	0	7	6	2	1	1	2	0	3	0	0	0	1	4	1	0	3	0	0	0	0	1	0	4	0	0	7	8	1	3	0	1	4	4	0	1	0	6	0	16	13	8	0	39	1	0	0	0	1	2	0	0	2	0	6	0	0	0	0	7	0	6	0	6	0	0	0	0	0	139	0	2	2	0	1	10	1	1	0	0	1	0	11	1	2	0	0	0	0	2	1	0	0	2	17	0	0	3	22	1	11	0	0	1	0	31	2	0	1	1	2	1	0	1	2	1	5	1	1	0	0	5	2	0	7	0	0	0	9	0	9	4	0	1	0	1	0	0	0	2	2	0	0	0	0	1	5	1	0	2	5	1	0	18	0	2	5	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	10	11	6	0	1	139	2	3	2	1	4	0	1	0	0	0	0	2	0	1	3	1	5	6	0	1	2	0	0	2	3	0	0	5	0	3	0	0	0	184	1	0	4	3	0	0	0	0	3	1	0	0	2	0	0	1	1	0	0	3	1	2	1	0	4	0	1	12	4	4	0	0	17	0	1	1	1	1	0	1	1	5	1	15	3	0	0	2	0	8	1	0	1	4	7	0	3	1	6	0	0	0	4	0	4	15	0	0	0	2	1	0	0	1	5	1	2	52	7	2	34	0	90	1	2	0	3	0	0	0	0	0	2	14	4	0	4	3	0	5	6	0	1	5	0	0	0	1	1	0	2	1	0	2	0	0	0	5	0	0	0	0	0	4	1	1
Did Not Chart	2	3	3	6	3	1	2	0	0	2	0	4	1	1	0	9	1	46	0	10	2	20	4	10	2	7	0	3	3	3	0	7	6	4	5	1	1	1	5	0	3	0	0	2	1	0	12	0	8	40	4	5	3	4	1	3	7	0	0	0	1	8	6	2	0	1	1	0	6	5	1	1	1	2	2	0	0	0	7	11	1	3	3	6	2	3	0	0	13	0	3	1	3	1	18	21	3	4	5	0	0	1	5	3	1	1	1	3	11	3	1	1	0	3	8	2	1	2	1	7	4	35	5	3	7	26	4	1	13	0	0	1	3	3	1	1	4	5	0	4	1	2	26	7	0	6	1	4	2	6	9	2	2	0	2	1	8	9	2	6	2	2	1	7	1	1	3	3	0	5	2	2	1	3	8	22	0	11	0	3	4	0	21	11	0	3	0	1	1	8	3	0	1	3	1	16	1	0	0	7	0	1	4	0	31	5	2	3	1	8	0	0	4	3	1	3	4	2	2	6	6	1	0	1	2	0	0	1	3	3	5	4	4	2	10	5	1	1	9	5	4	1	0	4	1	2	0	0	8	0	0	1	0	3	1	1	3	3	1	2	5	10	0	0	11	3	13	3	0	4	0	0	0	1	1	0	4	5	6	1	4	0	4	5	12	7	3	6	4	1	1	1	1	2	4	4	0	1	2	0	2	1	0	0	6	2	3	1	3	5	4	3	3	4	14	1	6	8	0	0	2	3	0	2	3	4	1	2	2	0	13	1	2	3	1	4	0	2	5	1	5	2	5	2	2	0	1	2	2	4	7	0	0	4	2	15	0	16	4	4	4	4	5	6	0	2	0	0	0	4	2	2	0	4	4	0	1	3	2	8	0	0	3	0	11	0	1	3	6	2	1	0	1	3	6	2	0	23	6	1	3	4	11	0	2	3	0	1	1	1	3	2	1	3	0	2	0	18	2	1	4	2	1	16	1	2	3	0	21	2	2	12	2	2	27	1	1	4	2	22	1	1	2	1	1	0	0	8	0	9	8	20	3	1	42	2	2	0	3	10	4	3	3	5	0	0	4	20	29	0	0	4	6	31	0	3	2	2	1	2	4	4	2	1	6	0	1	2	1	10	3	2	7	5	3	1	0	2	5	3
How to be an artist and still pass for normal	1	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	6	3	0	0	2	3	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	2	3	1	1	0	1	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	4	3	0	0	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	3	0	2	0	0	0	6	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	9	0	1	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	5	4	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	6	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
Interstellar Radio Shower	0	0	0	1	1	0	0	0	1	0	0	6	1	1	1	0	0	0	0	0	0	1	0	0	2	0	5	0	1	1	0	2	1	0	0	0	1	0	0	0	0	2	1	0	1	0	3	0	0	1	1	0	1	0	1	0	0	1	1	0	0	2	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	11	2	0	0	0	1	0	0	0	4	1	2	1	1	0	0	0	1	0	0	0	3	3	1	0	0	2	1	1	1	0	2	0	0	0	1	0	0	0	2	0	2	0	0	3	1	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	1	2	2	1	1	6	2	0	4	2	1	8	1	0	0	0	0	0	1	0	0	0	0	0	1	4	2	0	1	0	0	0	2	10	1	0	0	1	2	3	0	0	1	0	2	2	3	0	0	1	1	1	0	2	0	0	0	0	0	4	0	3	1	1	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	1	1	0	6	0	0	1	0	1	1	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0	2	2	0	1	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	1	0	3	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	2	1	1	0	2	0	0	0	0	1	1	1	0	1	0	0	11	0	0	2	0	0	3	0	1	0	0	0	1	0	7	1	1	1	1	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	3	2	1	0	1	0	1	1	1	0	0	1	1	0	2	2	0	2	0	1	2	0	1	1	2	0	0	2	2	0	0	0	0	0	0	2	0	1	2	0	2	6	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	1	0	4	0	1	2	1	1	1	0	0	0	0	0	1	0	0	5	0	0	0	0	2	1
adrianoblog	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0
